DOI,DOI_links
10.1016/j.jpowsour.2004.01.028,http://dx.doi.org/10.1016/j.jpowsour.2004.01.028
10.1002/jctb.1007,http://dx.doi.org/10.1002/jctb.1007
10.1016/j.matchemphys.2004.03.006,http://dx.doi.org/10.1016/j.matchemphys.2004.03.006
10.5796/electrochemistry.72.656,http://dx.doi.org/10.5796/electrochemistry.72.656
10.1016/j.jpowsour.2004.05.019,http://dx.doi.org/10.1016/j.jpowsour.2004.05.019
10.5796/electrochemistry.72.755,http://dx.doi.org/10.5796/electrochemistry.72.755
10.1016/j.cap.2003.11.065,http://dx.doi.org/10.1016/j.cap.2003.11.065
10.1016/j.jpowsour.2004.06.049,http://dx.doi.org/10.1016/j.jpowsour.2004.06.049
10.1016/j.jpowsour.2004.06.043,http://dx.doi.org/10.1016/j.jpowsour.2004.06.043
10.1149/1.2039567,http://dx.doi.org/10.1149/1.2039567
10.1007/BF02430403,http://dx.doi.org/10.1007/BF02430403
10.1007/s11167-005-0309-9,http://dx.doi.org/10.1007/s11167-005-0309-9
10.1016/j.jpowsour.2004.10.006,http://dx.doi.org/10.1016/j.jpowsour.2004.10.006
10.3866/PKU.WHXB20050323,http://dx.doi.org/10.3866/PKU.WHXB20050323
10.1021/ja044643g,http://dx.doi.org/10.1021/ja044643g
10.1016/j.jpowsour.2004.11.027,http://dx.doi.org/10.1016/j.jpowsour.2004.11.027
10.1088/0957-4484/16/6/031,http://dx.doi.org/10.1088/0957-4484/16/6/031
10.1007/BF03027446,http://dx.doi.org/10.1007/BF03027446
10.1007/s10008-004-0578-x,http://dx.doi.org/10.1007/s10008-004-0578-x
10.1007/s11175-005-0170-4,http://dx.doi.org/10.1007/s11175-005-0170-4
10.1007/s11167-005-0533-3,http://dx.doi.org/10.1007/s11167-005-0533-3
10.1007/s11167-005-0532-4,http://dx.doi.org/10.1007/s11167-005-0532-4
10.1016/j.physleta.2005.07.080,http://dx.doi.org/10.1016/j.physleta.2005.07.080
10.1021/ja0556068,http://dx.doi.org/10.1021/ja0556068
10.1016/j.tetlet.2005.09.007,http://dx.doi.org/10.1016/j.tetlet.2005.09.007
10.1002/adma.200500663,http://dx.doi.org/10.1002/adma.200500663
10.1179/174591905X79193,http://dx.doi.org/10.1179/174591905X79193
10.1179/174591905X79184,http://dx.doi.org/10.1179/174591905X79184
10.1016/j.jpowsour.2005.03.133,http://dx.doi.org/10.1016/j.jpowsour.2005.03.133
10.1016/j.jpowsour.2005.03.175,http://dx.doi.org/10.1016/j.jpowsour.2005.03.175
10.1016/j.jhazmat.2005.07.024,http://dx.doi.org/10.1016/j.jhazmat.2005.07.024
10.1016/j.synthmet.2005.06.009,http://dx.doi.org/10.1016/j.synthmet.2005.06.009
10.1021/jo0517491,http://dx.doi.org/10.1021/jo0517491
10.1149/1.2218267,http://dx.doi.org/10.1149/1.2218267
10.1088/1742-6596/34/1/132,http://dx.doi.org/10.1088/1742-6596/34/1/132
10.1002/ckon.200610037,http://dx.doi.org/10.1002/ckon.200610037
10.1016/j.jpowsour.2005.03.184,http://dx.doi.org/10.1016/j.jpowsour.2005.03.184
10.1016/j.jpowsour.2005.04.002,http://dx.doi.org/10.1016/j.jpowsour.2005.04.002
10.1016/j.scriptamat.2005.12.031,http://dx.doi.org/10.1016/j.scriptamat.2005.12.031
10.1016/j.elecom.2006.02.014,http://dx.doi.org/10.1016/j.elecom.2006.02.014
10.1143/JJAP.45.4040,http://dx.doi.org/10.1143/JJAP.45.4040
10.1016/j.electacta.2005.10.017,http://dx.doi.org/10.1016/j.electacta.2005.10.017
10.1016/j.jhazmat.2005.10.021,http://dx.doi.org/10.1016/j.jhazmat.2005.10.021
10.1016/j.jpowsour.2005.05.047,http://dx.doi.org/10.1016/j.jpowsour.2005.05.047
10.1590/S0100-40422006000500014,http://dx.doi.org/10.1590/S0100-40422006000500014
10.1016/j.jpowsour.2005.10.110,http://dx.doi.org/10.1016/j.jpowsour.2005.10.110
10.1016/j.jpowsour.2006.04.010,http://dx.doi.org/10.1016/j.jpowsour.2006.04.010
10.1016/j.electacta.2006.04.009,http://dx.doi.org/10.1016/j.electacta.2006.04.009
10.1016/j.jpowsour.2005.11.081,http://dx.doi.org/10.1016/j.jpowsour.2005.11.081
10.1016/j.jpowsour.2005.11.074,http://dx.doi.org/10.1016/j.jpowsour.2005.11.074
10.1016/j.jpowsour.2005.12.073,http://dx.doi.org/10.1016/j.jpowsour.2005.12.073
